orgId	expName	expDesc	timeZeroSet	num	nMapped	nPastEnd	nGenic	nUsed	gMed	gMedt0	gMean	cor12	mad12	mad12c	mad12c_t0	opcor	adjcor	gccor	maxFit	expGroup	expDescLong	mutantLibrary	person	dateStarted	setName	seqindex	media	temperature	pH	vessel	aerobic	liquid	shaking	condition_1	units_1	concentration_1	condition_2	units_2	concentration_2	condition_3	units_3	concentration_3	condition_4	units_4	concentration_4	growthPlate	growthWells
Agro	set10IT004	D,L-Malic Acid (C)	1/6/22 Agro_ML11_set10	528	3528107	310	2485564	2484000	435.5	1183	561.229100768188	0.240937478212236	0.15350036122302	0.887133996036603	0.875741897037855	0.285691368570217	0.0787904847542363	-0.053782918260578	1.87207040819707	carbon source	D,L-Malic Acid carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT004	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	D,L-Malic Acid	mM	10											
Agro	set10IT005	D,L-Malic Acid (C)	1/6/22 Agro_ML11_set10	529	3225052	289	2269722	2268312	394	1183	512.497062810664	0.166073191643509	0.153054889514015	0.880584833055229	0.875741897037855	0.20041025305387	0.0542195856351476	-0.0435184000015169	0.82897399147325	carbon source	D,L-Malic Acid carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT005	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	D,L-Malic Acid	mM	10											
Agro	set10IT006	D-glutamine (C)	1/6/22 Agro_ML11_set10	530	3535422	294	2488425	2486928	429	1183	561.890646181654	0.180642136273948	0.149051904464619	0.879705766282288	0.875741897037855	0.167404005272804	0.0522377896067243	-0.0709277883810244	1.16943314804787	carbon source	D-glutamine carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT006	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	D-glutamine	mM	10											
Agro	set10IT007	D-glutamine (C)	1/6/22 Agro_ML11_set10	531	3493708	278	2458748	2457216	424.5	1183	555.177586985992	0.156844643624344	0.157915967086573	0.872449950279489	0.875741897037855	0.189297367064053	0.0817199745047122	-0.0704146398560362	0.984627781473729	carbon source	D-glutamine carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT007	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	D-glutamine	mM	10											
Agro	set10IT008	trans-aconitic (C)	1/6/22 Agro_ML11_set10	532	3131021	245	2205092	2203763	378	1183	497.913014008134	0.184929513479526	0.158021764754023	0.875671864997799	0.875741897037855	0.165071467761469	0.0834204747055548	-0.0369198363791297	0.9218787170099	carbon source	trans-aconitic acid carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT008	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	trans-aconitic acid	mM	10											
Agro	set10IT009	trans-aconitic (C)	1/6/22 Agro_ML11_set10	533	2907041	232	2047757	2046544	355.5	1183	462.391323994577	0.140368113699801	0.159376669615227	0.890770930245242	0.875741897037855	0.203089596994138	0.0178483274346971	-0.0443888061534273	1.0490126894089	carbon source	trans-aconitic acid carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT009	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	trans-aconitic acid	mM	10											
Agro	set10IT010	Maltotriose (C)	1/6/22 Agro_ML11_set10	534	3542586	297	2492344	2490819	430	1183	562.769769543606	0.185008408682346	0.15908329451438	0.877399298899119	0.875741897037855	0.192154229265145	0.0230357127465589	-0.0469405461765736	1.40068566025997	carbon source	Maltotriose hydrate carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT010	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	Maltotriose hydrate	mM	10											
Agro	set10IT011	Maltotriose (C)	1/6/22 Agro_ML11_set10	535	3069993	282	2158395	2157125	371.5	1183	487.375734297334	0.169329031496083	0.167709822385518	0.885995371297168	0.875741897037855	0.213516466162817	0.0258629118931627	-0.0384813938657852	1.15530484045723	carbon source	Maltotriose hydrate carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT011	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	Maltotriose hydrate	mM	10											
Agro	set10IT012	Maltitol (C)	1/6/22 Agro_ML11_set10	536	3039017	290	2140780	2139388	366	1183	483.368278355174	0.193500571295452	0.163206469854877	0.874564085170292	0.875741897037855	0.200691317332145	0.00218959958314941	-0.0381388834220256	3.20674194876747	carbon source	Maltitol carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT012	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	Maltitol	mM	10											
Agro	set10IT013	Maltitol (C)	1/6/22 Agro_ML11_set10	537	3809910	325	2683021	2681288	458.5	1183	605.803886127429	0.187499678071007	0.150025092762922	0.876087396314523	0.875741897037855	0.166082161118659	0.0286581142343784	-0.0410430242865622	3.39201844577991	carbon source	Maltitol carbon source	Agro_ML11	Mitchell Thompson	1/6/22	Agro_ML11_set10	IT013	MOPS minimal media_noCarbon	28	7	24-well plate	Aerobic	Liquid	200 rpm	Maltitol	mM	10											
