module,locus_tag,gene_weight,accession,start,end,strand,product,old_locus_tag,Description,Preferred_name,PFAMs,Protein names,Length,Protein families,Gene Ontology (GO),Gene Ontology (molecular function),regulator
0,Atu3030,0.0587132475401074,NC_003063.2,25394.0,25780.0,-,hypothetical protein,AGR_L_3549,"Biotin-protein ligase, N terminal",CP_0643,BPL_N,Uncharacterized protein,128.0,,,,
0,Atu4870,0.0674775012496277,NC_003063.2,2053716.0,2054675.0,-,NADP-dependent quinone oxidoreductase,AGR_L_35,Zinc-binding dehydrogenase,-,"ADH_N,ADH_zinc_N",NADP-dependent quinone oxidoreductase,319.0,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],
0,Atu4869,0.0656283694966938,NC_003063.2,2053277.0,2053699.0,+,hypothetical protein,AGR_L_36,Transcriptional regulator,-,HTH_18,Transcription regulator HTH AraC N-terminal domain-containing protein,140.0,,,,
0,Atu4868,0.0604853265123538,NC_003063.2,2052011.0,2053081.0,-,putative oxidoreductase,AGR_L_37,Aldo/keto reductase family,-,Aldo_ket_red,Oxidoreductase,356.0,,,,
0,Atu4866,0.0573982299014039,NC_003063.2,2051089.0,2051328.0,-,conserved hypothetical protein,AGR_L_42,Agrobacterium tumefaciens protein Atu4866,-,Atu4866,Agrobacterium tumefaciens protein Atu4866,79.0,,,,
0,Atu4864,0.0587359509788799,NC_003063.2,2049367.0,2049819.0,+,transcriptional regulator%2C MarR family,AGR_L_46,transcription factor activity and regulation of transcription,ohrR,MarR,"Transcriptional regulator, MarR family",150.0,,DNA-binding transcription factor activity [GO:0003700],DNA-binding transcription factor activity [GO:0003700],
0,Atu3028,0.063962570080081,NC_003063.2,23317.0,24114.0,+,conserved hypothetical protein,AGR_L_3552,Xylose isomerase-like TIM barrel,-,AP_endonuc_2,Xylose isomerase-like TIM barrel domain-containing protein,265.0,,,,
0,Atu3027,0.0620123183515949,NC_003063.2,22325.0,23320.0,+,dehydrogenase,AGR_L_3553,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",-,2-Hacid_dh_C,Dehydrogenase,331.0,,"NAD binding [GO:0051287]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]","NAD binding [GO:0051287]; oxidoreductase activity, acting on CH-OH group of donors [GO:0016614]",
0,Atu3026,0.0795647291172285,NC_003063.2,20354.0,21103.0,+,short chain dehydrogenase,AGR_L_3556,KR domain,-,adh_short_C2,Short chain dehydrogenase,249.0,,,,
0,Atu3025,0.0787183422458292,NC_003063.2,18008.0,20338.0,+,oligo alginate lyase,AGR_L_3558,Domain of unknown function (DUF4962),-,"DUF4962,Hepar_II_III",Oligo alginate lyase,776.0,,lyase activity [GO:0016829],lyase activity [GO:0016829],
0,Atu3024,0.086553033385983,NC_003063.2,16407.0,17936.0,+,ABC transporter%2C membrane spanning protein (sugar),AGR_L_3560,Bacterial extracellular solute-binding protein,-,"SBP_bac_1,SBP_bac_8","ABC transporter, membrane spanning protein (Sugar)",509.0,Bacterial solute-binding protein 1 family,periplasmic space [GO:0042597],,
0,Atu3023,0.1057552089560438,NC_003063.2,15465.0,16346.0,+,ABC transporter%2C membrane spanning protein (sugar),AGR_L_3561,Binding-protein-dependent transport system inner membrane component,-,BPD_transp_1,"ABC transporter, membrane spanning protein (Sugar)",293.0,Binding-protein-dependent transport system permease family,plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],,
0,Atu3022,0.1045515044564973,NC_003063.2,14524.0,15453.0,+,ABC transporter%2C membrane spanning protein (sugar),AGR_L_3564,Binding-protein-dependent transport system inner membrane component,-,BPD_transp_1,"ABC transporter, membrane spanning protein (Sugar)",309.0,Binding-protein-dependent transport system permease family,plasma membrane [GO:0005886]; transmembrane transport [GO:0055085],,
0,Atu3021,0.1126428343277895,NC_003063.2,13412.0,14527.0,+,ABC transporter%2C nucleotide binding/ATPase protein (sugar),AGR_L_3567,Belongs to the ABC transporter superfamily,-,"ABC_tran,TOBE_2","ABC transporter, nucleotide binding/ATPase protein (Sugar)",371.0,ABC transporter superfamily,plasma membrane [GO:0005886]; ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; carbohydrate transport [GO:0008643],ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887],
0,Atu4872,0.0749287834106731,NC_003063.2,2054871.0,2055770.0,+,transcriptional regulator%2C LysR family,AGR_L_33,transcriptional regulator,-,"HTH_1,LysR_substrate","Transcriptional regulator, LysR family",299.0,LysR transcriptional regulatory family,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],
0,Atu3020,0.1151658020685251,NC_003063.2,12671.0,13381.0,+,transcriptional regulator%2C GntR family,AGR_L_3568,Transcriptional regulator,-,"FCD,GntR","Transcriptional regulator, GntR family",236.0,,DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700],
0,Atu3018,0.1230288078463399,NC_003063.2,11249.0,11632.0,+,conserved hypothetical protein,AGR_L_3571,SnoaL-like polyketide cyclase,-,SnoaL,Ester cyclase,127.0,,polyketide metabolic process [GO:0030638],,
0,Atu3017,0.1295377144930168,NC_003063.2,10885.0,11178.0,+,phosphoglyceromutase,AGR_L_3572,Phosphoglycerate mutase family,-,His_Phos_1,Phosphoglyceromutase,97.0,,,,
0,Atu3016,0.1255878282146093,NC_003063.2,10589.0,10888.0,+,phosphoglyceromutase,AGR_L_3573,alpha-ribazole phosphatase activity,-,His_Phos_1,Phosphoglyceromutase,99.0,,catalytic activity [GO:0003824]; gluconeogenesis [GO:0006094],catalytic activity [GO:0003824],
0,Atu3015,0.1321302985828485,NC_003063.2,9998.0,10549.0,+,conserved hypothetical protein,AGR_L_3574,Chloramphenicol phosphotransferase-like protein,-,AAA_18,Shikimate kinase,183.0,,,,
0,Atu3014,0.1526583259846529,NC_003063.2,9341.0,9604.0,-,conserved hypothetical protein,AGR_L_3576,SpoVT / AbrB like domain,-,"MazE_antitoxin,PrlF_antitoxin",SpoVT-AbrB domain-containing protein,87.0,,DNA binding [GO:0003677],DNA binding [GO:0003677],
0,Atu3013,0.1473134171779519,NC_003063.2,8940.0,9344.0,-,conserved hypothetical protein,AGR_L_3577,PIN domain,-,PIN,PIN domain-containing protein,134.0,,,,
0,Atu3012,0.1449120982459912,NC_003063.2,8093.0,8782.0,-,hypothetical protein,AGR_L_3579,Protein of unknown function (DUF3396),-,DUF3396,Uncharacterized protein,229.0,,,,
0,Atu3011,0.1613479078242828,NC_003063.2,7524.0,7880.0,-,transcriptional regulator%2C ArsR family,AGR_L_3580,transcriptional regulators,-,HTH_20,"Transcriptional regulator, ArsR family",118.0,,DNA-binding transcription factor activity [GO:0003700],DNA-binding transcription factor activity [GO:0003700],
0,Atu3010,0.1577284539588937,NC_003063.2,6604.0,7527.0,-,conserved hypothetical protein,AGR_L_3582,Activator of Hsp90 ATPase homolog 1-like protein,MA20_35785,AHSA1,Activator of Hsp90 ATPase homologue 1-like C-terminal domain-containing protein,307.0,AHA1 family,,,
